ra,dec,phot_g_mean_mag
38.822733316001056,67.66908058752077,11.623105
38.627490057201854,67.70247650450483,11.413772
39.165036520452645,67.73283761812878,11.533964
38.73527108460631,67.74184792835236,9.6326475
38.95596119229593,67.9057802781892,11.371291
40.55220252845284,67.34069423164095,11.834686
40.32680352470372,67.3814435665279,11.338889
40.69807292164476,67.47397806323943,11.7548275
40.90637207422138,67.42718270965133,11.846621
40.933038436269484,67.4409988746018,10.446048
41.130101102033656,67.60839393591338,9.664517
40.75352488480643,67.581831067116,10.563682
40.85168661110013,67.64405697074355,11.149525
40.4626360113133,67.59725024577489,11.557632
40.461978309498164,67.59767225292883,10.851126
40.119529384317346,67.57637185298881,11.715162
40.20843533870319,67.67795804165803,11.212186
40.211049505731644,67.76631298464352,10.029381
40.57487921758421,67.82805643130854,11.048404
41.48453044308957,67.80337652979459,11.438958
41.49798143380723,67.80860059538689,8.476684
41.422286162852224,67.79547110334926,11.456881
41.424425713986096,67.82174278705286,11.388589
41.20727616113533,67.82448892388781,5.9381804
41.02110018891667,67.87500983002995,10.395895
41.12115588816934,67.94000474992664,11.973777
41.29334210479466,68.06788239065794,11.721885
39.878276554103174,67.67469127026177,8.810337
39.713384644320726,67.655392402343,10.743128
39.84333547841673,67.71966775609756,11.775115
39.56855291052119,67.74034660680758,11.128441
39.52853997390013,67.78080202397913,10.822917
39.62565343966809,67.76635436638264,10.548524
40.07769286297874,67.86580825634417,10.642022
39.84189594721488,67.91913261353461,10.250643
39.89921630526664,67.99547364926069,11.916454
39.44227685889933,67.85551265048132,10.91319
39.45027962460723,67.88232057239505,11.748954
39.21598104637907,67.87107863112412,10.773371
39.22388000626544,67.95392487664921,11.6154785
39.04488316509233,67.95698422853951,7.661292
39.141841661986675,67.9972545303656,11.843057
39.59660286931941,68.06129913467868,7.5721664
40.59449728240254,68.06430810535214,6.736265
40.907564615255374,68.34703191171879,11.806399
40.44697712461233,68.30621821168904,11.364937
39.785140360818346,68.36875153001338,10.424407
40.324981255353485,68.39893746773663,11.595071
40.69079010064361,68.49698359665568,9.4096
40.47797305837763,68.45722396549414,11.944203
40.46160312174668,68.4696355489116,7.70207
40.490535721322104,68.51965326179612,11.716503
40.207232787958866,68.59556384069116,10.169099
37.70296801056734,67.24699511562451,10.691425
37.8790940234837,67.37957398751931,11.035553
37.889661988212936,67.41272544017502,11.54984
37.54511473460482,67.41555230160367,8.832963
37.44195528693758,67.42909896093998,11.73848
37.97446192835151,67.47374304688731,11.95722
38.661104392450234,67.86508784409152,11.828027
37.88940943208426,67.54511608036545,11.771418
37.64877116759527,67.57789165910128,9.2393055
37.817877743858034,67.57353010541863,11.366618
37.80170951336398,67.61711506124507,10.147828
38.12368455840261,67.64703747801832,11.570117
37.88469774214597,67.68564884725227,11.709358
37.27078195050208,67.4015578373054,8.129601
37.34181617285385,67.43914308592332,11.553983
37.26617856169214,67.40241597303176,4.6340737
37.264616610783484,67.4019204684237,6.8365726
37.39849589822132,67.43161551682414,8.454372
37.29126771443692,67.56185112182786,11.665793
37.168539450628266,67.58428273585939,11.0381
37.0914223193308,67.6183484374602,8.95245
37.30243205694379,67.76153015291199,11.69017
37.39715391645551,67.76492041741483,10.52185
37.52114378032998,67.80867853474393,11.969646
38.64871560235834,67.74278593857187,7.234868
38.466724372642446,67.77204385392656,9.319295
38.16998858213629,67.73464648772911,11.445606
38.00280845682233,67.77576324469776,11.320266
38.362038526729506,67.85254208244989,8.790102
38.59210821343502,67.8071387014995,11.654701
38.66098151820834,67.86518986079103,11.635749
38.65300195624133,67.87069969060876,11.945568
38.831611816339155,67.86263015949751,11.091846
38.44715637068291,67.96368398220994,10.31524
38.61076808040458,67.96187072504175,10.1132145
38.674751381217085,67.98491850459648,11.162074
38.62406062638777,67.98879702662627,10.100557
37.85473791273301,67.84172214065292,11.870964
38.05906170120914,67.9319567891796,11.73242
37.74137931177332,67.85648572752893,11.828436
37.71026957615881,67.93870469521346,11.280645
37.577875489249486,67.95994168881495,10.184578
37.87672025967655,67.98553545051949,11.025994
